Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,595.000000,601.750000,594.659973,599.500000,599.500000,414400
2019-02-27,597.400024,602.000000,595.429993,599.280029,599.280029,373700
2019-02-28,599.590027,609.599976,598.250000,607.530029,607.530029,721900
2019-03-01,610.099976,613.700012,604.789978,611.630005,611.630005,501900
2019-03-04,612.400024,622.489990,612.229980,618.849976,618.849976,727500
2019-03-05,618.479980,622.000000,613.479980,616.010010,616.010010,341300
2019-03-06,616.010010,619.210022,611.080017,613.409973,613.409973,272800
2019-03-07,614.419983,614.869995,607.130005,609.530029,609.530029,434400
2019-03-08,607.909973,616.809998,604.640015,616.440002,616.440002,600200
2019-03-11,615.820007,618.510010,613.239990,616.880005,616.880005,570800
2019-03-12,618.340027,635.599976,618.340027,630.989990,630.989990,817000
2019-03-13,633.500000,641.640015,633.010010,637.070007,637.070007,462300
2019-03-14,637.070007,642.929993,635.400024,642.390015,642.390015,433800
2019-03-15,643.570007,646.539978,637.469971,639.000000,639.000000,593600
2019-03-18,643.359985,656.590027,641.059998,655.799988,655.799988,837300
2019-03-19,657.000000,671.989990,653.030029,665.859985,665.859985,869800
2019-03-20,664.659973,670.809998,661.929993,665.789978,665.789978,338900
2019-03-21,668.090027,680.000000,667.809998,670.450012,670.450012,606000
2019-03-22,675.400024,679.239990,666.849976,671.460022,671.460022,609100
2019-03-25,669.989990,679.000000,657.559998,676.770020,676.770020,682300
2019-03-26,679.989990,692.750000,678.580017,688.820007,688.820007,719400
2019-03-27,689.950012,701.989990,689.950012,697.869995,697.869995,693800
2019-03-28,697.320007,703.159973,694.010010,702.510010,702.510010,488300
2019-03-29,704.820007,711.489990,701.200012,710.309998,710.309998,756200
2019-04-01,712.150024,715.619995,696.960022,705.739990,705.739990,697900
2019-04-02,703.000000,707.760010,698.030029,704.799988,704.799988,565200
2019-04-03,704.590027,707.659973,701.320007,705.640015,705.640015,420100
2019-04-04,704.989990,708.859985,695.369995,703.380005,703.380005,541200
2019-04-05,703.450012,709.679993,701.080017,708.369995,708.369995,791100
2019-04-08,708.000000,716.489990,707.849976,714.679993,714.679993,557600
2019-04-09,713.080017,721.210022,709.890015,710.669983,710.669983,507400
2019-04-10,711.000000,719.440002,711.000000,718.849976,718.849976,460500
2019-04-11,711.840027,713.020020,705.179993,707.530029,707.530029,781800
2019-04-12,707.500000,715.250000,707.500000,712.440002,712.440002,417200
2019-04-15,712.190002,714.489990,708.349976,712.270020,712.270020,271800
2019-04-16,716.650024,716.650024,704.760010,706.479980,706.479980,444300
2019-04-17,699.409973,699.940002,686.500000,688.210022,688.210022,865900
2019-04-18,695.000000,700.000000,687.000000,700.000000,700.000000,644000
2019-04-22,699.000000,702.840027,692.000000,701.669983,701.669983,463300
2019-04-23,701.900024,704.640015,696.000000,702.460022,702.460022,526100
2019-04-24,705.960022,714.289978,698.789978,709.750000,709.750000,1184600
2019-04-25,711.010010,713.549988,658.500000,678.070007,678.070007,2336400
2019-04-26,682.000000,689.309998,674.580017,676.789978,676.789978,766000
2019-04-29,680.349976,680.500000,669.119995,677.900024,677.900024,634800
2019-04-30,677.909973,689.359985,670.000000,688.039978,688.039978,591500
2019-05-01,688.859985,697.330017,685.400024,688.559998,688.559998,410600
2019-05-02,687.400024,708.859985,686.150024,707.869995,707.869995,623400
2019-05-03,707.570007,710.929993,703.419983,709.520020,709.520020,436300
2019-05-06,703.229980,720.000000,702.900024,716.669983,716.669983,518000
2019-05-07,716.630005,721.419983,702.099976,706.520020,706.520020,463100
